,Strategy,Portfolio,Alpha,Alpha_t,Alpha_p,R2,Adj_R2,MKT,MKT_t,MKT_p,SMB,SMB_t,SMB_p,HML,HML_t,HML_p,RMW,RMW_t,RMW_p,CMA,CMA_t,CMA_p,Strategy_Portfolio
20,Ridge_train,Group_1,-0.01476521847584375,-6.924888197403059,4.363199732077443e-12,0.8569674609537616,0.8420682381364452,1.0635598585606614,23.135571225748915,2.031329924734609e-118,0.8140239144016291,5.306132858589054,1.1197535665352102e-07,-0.2573958726035296,-1.0868967557467797,0.2770824402615645,-0.25116509197753745,-1.2450263890452673,0.21312205020800168,0.32336480863156425,0.6791321123777444,0.4970541571593361,Ridge_train_Group_1
21,Ridge_train,Group_2,-0.0015023633453652074,-0.6552616468510388,0.5122993095883859,0.8673095178528465,0.8534875926291847,0.946115758860356,28.186447076778595,8.572886563632642e-175,0.5885321568423323,3.8104039150162126,0.00013873992814071224,-0.2067221393296919,-1.1087033802152928,0.26755816323122705,-0.2992503168954196,-1.507660399499534,0.1316414656602566,0.25588898973599006,0.8244865549457883,0.4096631521848457,Ridge_train_Group_2
22,Ridge_train,Group_3,0.0018646512369307185,0.7798370202063672,0.4354868128149523,0.8624589467027786,0.8481317536509847,0.9433027159787714,25.885761392390894,9.63402464298801e-148,0.5735238247684019,3.2670204834033023,0.0010868581619915927,-0.08780454082205659,-0.4322932012825734,0.6655283278472763,-0.28295595055841527,-1.1842497889143662,0.2363141984409809,0.23757835383382075,0.8032054952068439,0.4218559698500971,Ridge_train_Group_3
23,Ridge_train,Group_4,0.004110103427479162,1.4348962041487376,0.15131667754345351,0.8600810928184045,0.845506206653655,0.9312654310274124,22.216606965148237,2.373380542617139e-109,0.6141265430736086,3.850503419004764,0.00011787528455925743,-0.016990465790079456,-0.09003740750121839,0.9282574886473842,-0.24685673482202267,-0.9495365859041442,0.3423477735438919,0.23996157231788012,0.9291065203930924,0.3528338856596669,Ridge_train_Group_4
24,Ridge_train,Group_5,0.0043074138049753906,1.7045731396124866,0.08827406446619568,0.8624828031601627,0.8481580951560129,0.9470425333569674,34.07025466083641,2.0348286095373815e-254,0.7250764040498184,4.93248227762368,8.119114825026251e-07,0.09370933092878335,0.543902407988075,0.5865086318405799,-0.11653108470873202,-0.4792324512993916,0.6317732705902606,0.17088627506536191,0.7227454273763835,0.46983630070217663,Ridge_train_Group_5
25,Ridge_test,Group_1,-0.007283183001164933,-1.23812774956454,0.2156686960241423,0.8782170089864793,0.8556646032432347,1.4269211503443118,4.038592227164439,5.377295079011456e-05,0.5885909792932879,3.4902129676232714,0.00048263576301017634,-0.18958250266011456,-0.7208014054323937,0.47103171059562843,0.7028428279712605,2.0416037508219347,0.0411908529492266,0.8421606531389668,2.395937148080475,0.016577932743368985,Ridge_test_Group_1
26,Ridge_test,Group_2,-0.0036082520343451475,-0.7407908880817597,0.4588202408455698,0.9025010623047183,0.8844457034722587,1.5944285087853605,5.5049459438148345,3.6928156082454695e-08,0.461156522011805,4.273587395530215,1.9235283944695984e-05,0.12489227245134571,0.4477834481676422,0.65430949001732,0.46324311567529985,1.294811313112108,0.19538532835846956,0.4230245738590382,1.0897430462113944,0.27582634845309195,Ridge_test_Group_2
27,Ridge_test,Group_3,-0.0038563311189996523,-0.7395744055741115,0.45955827656741965,0.8884386425741938,0.8677791319397853,1.6347360060987246,6.0778720985856225,1.2178783160308035e-09,0.4553225362816969,4.225604217102992,2.383005055025156e-05,0.26798341917500196,0.846211718507003,0.3974346458121799,0.4459935951376445,1.0527670317863087,0.2924477782911712,0.3060248940279473,0.6455251505932902,0.5185869251040058,Ridge_test_Group_3
28,Ridge_test,Group_4,-0.00284648171060015,-0.53866835454486,0.5901157130756439,0.895103220511821,0.875677890976973,1.643972068612765,6.4016163169721425,1.5374062089458417e-10,0.6235540280818265,5.909679694514068,3.427735789761731e-09,0.4257833575603894,1.3545471099496957,0.17556189424550106,0.40855478458454475,0.9983216312024917,0.3181234217030945,0.13519138012066378,0.30149941858789187,0.7630336932897973,Ridge_test_Group_4
29,Ridge_test,Group_5,-0.0025273463694916024,-0.4226143532863335,0.6725766526850221,0.8827806606429375,0.8610733755768147,1.5644176715155078,6.016701821981739,1.780065305759744e-09,0.748279334993711,6.183825766999621,6.256642167368752e-10,0.4389721351103702,1.208558798838294,0.22683239332368832,0.454605357573406,1.0853464862748932,0.2777682242038392,0.1867846183734181,0.3878878280439562,0.6980990461216989,Ridge_test_Group_5
